,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
18,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-01-06 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMATICAS,83,NINGUNO,,187168,28,VERDADERO
19,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-02-06 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,80,TESIS PROFESIONAL,03/12/2020,187189,29,VERDADERO
20,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,2020-09-06 00:00:00,VERDADERO,ITESM,IQA,81,EXAMEN NACIONAL DE CALIDAD (CENEVAL),04/01/2010,187204,40,VERDADERO
21,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-10-06 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN BIOLOGÍA,84,EXAMEN NACIONAL DE CALIDAD (CENEVAL),06/10/2016,184713,32,FALSO
22,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NINGUNA RELIGIÓN,2020-06-15 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,ECONOMÍA,90,TESIS PROFESIONAL,12/05/2006,187214,42,VERDADERO
23,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-06-15 00:00:00,VERDADERO,UNIVERSIDAD DEL VALLE DE MÉXICO,MERCADOTECNIA INTERNACIONAL,"82,5",EXAMEN NACIONAL DE CALIDAD (CENEVAL),04/09/2018,187216,35,VERDADERO
24,MÉXICO,SONORA,HOMBRE,CASADO(A),0,NO DESEO DECLARARLA,2020-06-15 00:00:00,VERDADERO,ITESM,INGENIERO EN TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES,"91,05",POR PROMEDIO,14/05/2012,187109,34,VERDADERO
25,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-06-15 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS COMPUTACIONALES,"83,38",EXAMEN NACIONAL DE CALIDAD (CENEVAL),,187217,27,VERDADERO
26,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-06-17 00:00:00,VERDADERO,UNISON,CIENCIAS DE LA COMPUTACION,"79,72",EXAMEN NACIONAL DE CALIDAD (CENEVAL),06/07/2019,187213,29,VERDADERO
27,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-06-18 00:00:00,VERDADERO,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS SONORA NORTE,INGENIERÍA EN MECATRONICA. IMT04,"87,203",EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/05/2010,187206,36,VERDADERO
28,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FISICA,88,TESIS PROFESIONAL,04/05/2015,187223,35,FALSO
29,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2020-06-18 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,"88,16",TESIS PROFESIONAL,01/09/2020,187066,29,VERDADERO
30,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-06-19 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ING. MECATRONICA,"77,79",EXAMEN NACIONAL DE CALIDAD (CENEVAL),30/11/2020,187225,31,FALSO
31,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-06-19 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ING. MECATRONICA,"77,79",EXAMEN NACIONAL DE CALIDAD (CENEVAL),30/11/2020,187225,31,FALSO
32,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2020-06-19 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,MATEMÁTICAS,"87,98",TESIS PROFESIONAL,06/01/2012,186343,38,VERDADERO
33,MÉXICO,SONORA,HOMBRE,CASADO(A),1,CATÓLICA,2020-06-19 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,80,EXAMEN NACIONAL DE CALIDAD (CENEVAL),08/03/2009,187226,44,FALSO
0,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2020-11-20 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC. ECONOMÍA,"90,28",NINGUNO,31/12/2020,187273,26,FALSO
1,MÉXICO,MÉXICO,HOMBRE,SOLTERO(A),0,CATÓLICA,2020-12-17 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,"88,8",POR PROMEDIO,31/08/2014,187628,32,FALSO
2,MÉXICO,SONORA,HOMBRE,CASADO(A),2,CATÓLICA,2021-01-25 00:00:00,FALSO,INSTITUTO TECNOLÓGICO SUPERIOR DE CAJEME,INGENIERIA EN SISTEMAS COMPUTACIONALES,93,POR PROMEDIO,14/03/2014,187741,36,FALSO
3,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-01-30 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,"88,16",TESIS PROFESIONAL,01/09/2020,187066,29,FALSO
4,MÉXICO,OAXACA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-04-02 00:00:00,FALSO,UNAM,LICENCIATURA EN MATEMÁTICAS,87,TESIS PROFESIONAL,23/11/2017,187824,35,FALSO
5,MÉXICO,SONORA,HOMBRE,CASADO(A),0,NO DESEO DECLARARLA,2021-02-15 00:00:00,FALSO,INTITUTO TECNOLOGICO DE HERMOSILLO,INGENIERIA MECANICA,"86,33",PRÁCTICAS PROFESIONALES,16/05/2016,187473,31,FALSO
6,MÉXICO,OAXACA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-02-22 00:00:00,FALSO,ITO,INGENIERÍA INDUSTRIAL,86,PRÁCTICAS PROFESIONALES,16/05/2017,187922,30,FALSO
7,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-02-23 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA MECATRONICA,85,EXAMEN NACIONAL DE CALIDAD (CENEVAL),15/01/2012,186682,34,FALSO
8,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-02-23 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,87,EXAMEN NACIONAL DE CALIDAD (CENEVAL),01/03/2018,186682,34,FALSO
9,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-02-03 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA EN MECATRÓNICA,"82,17",EXAMEN NACIONAL DE CALIDAD (CENEVAL),02/06/2015,187983,36,FALSO
10,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-04-23 00:00:00,FALSO,INSTITUTO TECNOLOGICO SUPERIOR DE CAJEME,INGENIERIA EN SISTEMAS COMPUTACIONALES,96,POR PROMEDIO,27/04/2012,188000,34,FALSO
11,MÉXICO,SONORA,HOMBRE,SOLTERO(A),1,CATÓLICA,2021-08-03 00:00:00,FALSO,INSTITUTO TECNOLOGICO HERMOSILLO,INGENIERIA EN SISTEMAS COMPUTACIONALES,"81,15",POR DIPLOMADO,22/01/2016,185164,32,FALSO
12,CUBA,ALQUIZAR,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2021-08-03 00:00:00,FALSO,"UNIVERSIDAD CENTRAL ""MARTA ABREU"" DE LAS VILLAS",LICENCIATURA EN CIENCIA DE LA COMPUTACIÓN,90,TESINA,13/07/2012,188022,34,FALSO
13,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-09-03 00:00:00,FALSO,UNISON,ING. SISTEMAS DE INFORMACION,"80,67",EXAMEN NACIONAL DE CALIDAD (CENEVAL),27/06/2014,188048,34,FALSO
14,MÉXICO,BAJA CALIFORNIA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2021-03-18 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,98,POR PROMEDIO,27/11/2020,187718,26,FALSO
15,MÉXICO,SONORA,MUJER,SOLTERO(A),2,CATÓLICA,2021-03-18 00:00:00,FALSO,INSTITUTO TECNOLOGICO DE HERMOSILLO,ING. MECATRONICA,82,NINGUNO,,188065,33,FALSO
16,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-03-19 00:00:00,FALSO,INSTITUTO TECNOLOGICO DE HERMOSILLO,INGENIERIA EN SISTEMAS COMPUTACIONALES,92,POR PROMEDIO,23/09/1998,188119,48,FALSO
17,MÉXICO,SONORA,MUJER,CASADO(A),2,NO DESEO DECLARARLA,2021-03-20 00:00:00,FALSO,UNIVERSIDAD DE SONORA ,LIC EN MATEMÁTICAS ,84,TESIS PROFESIONAL,01/10/2004,188127,42,FALSO
18,CUBA,HABANA,MUJER,SOLTERO(A),0,CATÓLICA,2021-03-21 00:00:00,FALSO,INSTITUTO SUPERIOR POLITECNICO JOSE ANTONIO ECHEVERRIA(CUJAE),INGENIERIA INFORMATICA,80,TESIS PROFESIONAL,22/03/2014,187703,36,FALSO
19,MÉXICO,NUEVO LEÓN,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-03-23 00:00:00,FALSO,UNIVERSIDAD ESTATAL DE SONORA,INGENIERÍA DE SOFTWARE,93,POR PROMEDIO,14/10/2019,188141,26,FALSO
20,MÉXICO,SONORA,HOMBRE,CASADO(A),3,CATÓLICA,,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,83,EXAMEN NACIONAL DE CALIDAD (CENEVAL),31/10/2008,188160,39,FALSO
21,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-05-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,98,EXAMEN NACIONAL DE CALIDAD (CENEVAL),21/05/2021,188254,24,FALSO
22,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,QUÍMICO BIÓLOGO CLÍNICO,92,TESIS PROFESIONAL,28/08/2020,188252,26,FALSO
23,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,INGENIERÍA EN SISTEMAS COMPUTACIONALES,89,TRABAJO PROFESIONAL,15/12/2014,188257,37,FALSO
24,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-06-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ING. EN TECNOLOGÍA ELECTRÓNICA ,"90,2",POR PROMEDIO,24/02/2021,188152,25,FALSO
25,MÉXICO,SONORA,HOMBRE,CASADO(A),2,NO DESEO DECLARARLA,2021-12-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACION,"79,32",EXPERIENCIA PROFESIONAL,23/05/2018,188314,41,FALSO
26,MÉXICO,VERACRUZ,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-04-18 00:00:00,FALSO,UNIVERSIDAD VERACRUZANA,LICENCIATURA EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS ,82,TESIS PROFESIONAL,12/12/2017,188352,29,FALSO
27,MÉXICO,SINALOA,HOMBRE,CASADO(A),2,NO DESEO DECLARARLA,2021-04-19 00:00:00,FALSO,UNIVERSIDAD TECNOLÓGICA DE HERMOSILLO,INGENIERÍA EN MECATRÓNICA,93,TESINA,13/06/2011,188294,42,FALSO
28,MÉXICO,SINALOA,HOMBRE,CASADO(A),0,NO DESEO DECLARARLA,2021-04-23 00:00:00,FALSO,INSTITUTO TECNOLÓGICO SUPERIOR DE CAJEME, INGENIERÍA EN SISTEMAS,90,POR PROMEDIO,10/02/2012,188350,34,FALSO
29,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NINGUNA RELIGIÓN,2021-04-21 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"80,11",EXAMEN NACIONAL DE CALIDAD (CENEVAL),08/03/2009,188359,44,FALSO
30,MÉXICO,SONORA,HOMBRE,CASADO(A),3,NO DESEO DECLARARLA,2021-04-21 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,"78,27",EXAMEN NACIONAL DE CALIDAD (CENEVAL),06/06/2010,188336,42,FALSO
31,MÉXICO,SONORA,HOMBRE,CASADO(A),1,CATÓLICA,2021-04-26 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC. EN CIENCIAS DE LA COMPUTACIÓN,"79,65",EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/05/2019,188382,32,FALSO
32,MÉXICO,MÉXICO,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-06-05 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,LICENCIATURA EN ACTUARÍA,79,TESIS PROFESIONAL,30/06/2021,188424,27,FALSO
33,MÉXICO,BAJA CALIFORNIA SUR,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-05-17 00:00:00,FALSO,UNISON,LICENCIADO EN ECONOMÍA,"92,57",POR PROMEDIO,23/02/2021,188460,28,FALSO
34,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2021-05-18 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ECONOMÍA,86,PRÁCTICAS PROFESIONALES,,188466,25,FALSO
35,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-20 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,"81,3",NINGUNO,01/12/2021,188477,31,FALSO
36,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2021-05-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,"97,75",POR PROMEDIO,07/01/2021,188470,26,FALSO
37,MÉXICO,SONORA,HOMBRE,CASADO(A),1,NINGUNA RELIGIÓN,2021-05-25 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ING. EN MECATRÓNICA,"97,02",EXAMEN DE GRADO,12/05/2015,188498,32,FALSO
38,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-27 00:00:00,FALSO,,,0,,,188438,25,FALSO
39,MÉXICO,OAXACA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-05-28 00:00:00,FALSO,UNIVERSIDAD TECNOLÓGICA DE LA MIXTECA UTM,LICENCIATURA EN MATEMÁTICAS APLICADAS,75,TESINA,31/08/2021,188517,27,FALSO
40,MÉXICO,HIDALGO,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-28 00:00:00,FALSO,UNIVERSIDAD DE LAS AMERICAS PUEBLA,ADMINISTRACIÓN DE EMPRESAS,88,TESIS PROFESIONAL,22/07/2016,184901,31,FALSO
41,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-28 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,INGENIERÍA EN SISTEMAS COMPUTACIONALES,"87,28",PRÁCTICAS PROFESIONALES,15/10/2019,187948,27,FALSO
42,MÉXICO,OAXACA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-05-28 00:00:00,FALSO,UNIVERSIDAD TECNOLÓGICA DE LA MIXTECA,INGENIERÍA EN MECATRÓNICA,82,TESIS PROFESIONAL,25/10/2021,188523,29,FALSO
43,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-05-28 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,"84,96",EXAMEN NACIONAL DE CALIDAD (CENEVAL),31/10/2021,188524,26,FALSO
0,MÉXICO,TAMAULIPAS,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-10-25 00:00:00,VERDADERO,UNIVERSIDAD POLITÉCNICA DE VICTORIA,INGENIERÍA MECATRÓNICA,92,TESINA,20/01/2017,188794,28,VERDADERO
1,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-11-28 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,"84,89",EXAMEN NACIONAL DE CALIDAD (CENEVAL),22/03/2021,188816,26,FALSO
2,MÉXICO,SINALOA,HOMBRE,SOLTERO(A),0,CATÓLICA,2021-11-25 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"84,34",EXAMEN NACIONAL DE CALIDAD (CENEVAL),03/03/2021,188910,28,FALSO
3,CUBA,ALQUIZAR,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-11-29 00:00:00,FALSO,,,0,,,188918,29,FALSO
4,CUBA,ALQUIZAR,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-11-30 00:00:00,FALSO,UNIVERSIDAD DE CIENCIAS INFORMÁTICAS ,INGENIERÍA EN CIENCIAS INFORMÁTICAS,78,TESIS PROFESIONAL,29/06/2018,188922,29,FALSO
5,MÉXICO,AGUASCALIENTES,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-11-30 00:00:00,FALSO,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,97,PRÁCTICAS PROFESIONALES,13/08/2021,188865,25,FALSO
6,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2021-04-12 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LIC. EN INFORMATICA ADMINISTRATIVA,"85,71",EXAMEN NACIONAL DE CALIDAD (CENEVAL),11/03/2017,188916,30,VERDADERO
7,MÉXICO,NUEVO LEÓN,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2021-12-16 00:00:00,FALSO,UNIVERSIDAD ESTATAL DE SONORA,INGENIERÍA DE SOFTWARE,93,POR PROMEDIO,14/10/2019,188141,26,FALSO
8,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2021-12-27 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,ECONOMÍA,"96,038",EXAMEN NACIONAL DE CALIDAD (CENEVAL),12/04/2021,189045,26,VERDADERO
9,MÉXICO,OAXACA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-01-01 00:00:00,FALSO,UABJO,LIC. EN FÍSICA,88,TESIS PROFESIONAL,11/03/2022,189029,25,FALSO
10,CUBA,GRANMA,HOMBRE,DIVORCIADO(A),1,NINGUNA RELIGIÓN,2022-04-01 00:00:00,FALSO,UNIVERSIDAD DE GRANMA,LIC. CONTABILIDAD Y FINANZAS,"99,2",EXAMEN GENERAL DE CONOCIMIENTO,20/06/2019,189073,37,FALSO
11,CUBA,HABANA,MUJER,UNIÓN LIBRE,0,NINGUNA RELIGIÓN,2022-07-01 00:00:00,FALSO,"UNIVERSIDAD TECNOLÓGICA DE LA HABANA ""JOSÉ ANTONIO ECHEVERRÍA"" CUJAE",INGENIERÍA INDUSTRIAL,"92,2",TESIS PROFESIONAL,15/07/2017,188894,29,FALSO
12,MÉXICO,SONORA,HOMBRE,CASADO(A),0,CATÓLICA,2022-12-01 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERIA MECATRONICA,"82,84",EXAMEN NACIONAL DE CALIDAD (CENEVAL),27/09/2015,189179,31,VERDADERO
13,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2022-01-14 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,"87,9",EXAMEN NACIONAL DE CALIDAD (CENEVAL),20/09/2005,189178,42,VERDADERO
14,MÉXICO,SONORA,HOMBRE,CASADO(A),3,CATÓLICA,2022-01-14 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,83,EXAMEN NACIONAL DE CALIDAD (CENEVAL),31/10/2008,188160,39,FALSO
15,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-01-30 00:00:00,FALSO,UNIVERSIDAD TECNOLÓGICA DE HERMOSILLO ,LICENCIATURA EN MANTENIMIENTO INDUSTRIAL ,95,PRÁCTICAS PROFESIONALES,20/05/2016,189222,29,FALSO
16,CUBA,HABANA,MUJER,SOLTERO(A),2,ESPIRITUALISTAS,2022-01-22 00:00:00,FALSO,UNIVERSIDAD DE LAS CIENCIAS INFORMÁTICAS ,INGENIERO EN CIENCIAS INFORMATICAS,"82,4",TESIS PROFESIONAL,03/07/2012,189214,33,FALSO
17,CUBA,ALQUIZAR,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-01-18 00:00:00,VERDADERO,UNIVERSIDAD DE LA HABANA,LICENCIATURA EN MATEMÁTICA,"80,6",EXAMEN GENERAL DE CONOCIMIENTO,01/07/2016,188908,29,VERDADERO
18,MÉXICO,SONORA,HOMBRE,CASADO(A),3,CATÓLICA,2022-01-20 00:00:00,FALSO,ITESM,INGENIERO MECANICO ADMINISTRADOR,84,NINGUNO,17/12/1999,189303,47,FALSO
19,MÉXICO,SONORA,HOMBRE,CASADO(A),2,NINGUNA RELIGIÓN,2022-02-21 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,INGENIERÍA EN SISTEMAS COMPUTACIONALES,85,EXPERIENCIA PROFESIONAL,29/05/2019,189297,39,FALSO
20,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-01-23 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,ECONOMÍA,94,POR PROMEDIO,05/07/2018,189310,29,VERDADERO
21,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-01-24 00:00:00,FALSO,UNISON,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"98,57",POR PROMEDIO,31/05/2022,189325,25,FALSO
22,CUBA,ALQUIZAR,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-01-27 00:00:00,FALSO,UNIVERSIDAD DE LA HABANA,CIENCIA DE LA COMPUTACIÓN,88,POR DIPLOMADO,16/11/2017,189368,27,FALSO
23,MÉXICO,SINALOA,HOMBRE,CASADO(A),0,NO DESEO DECLARARLA,2022-03-23 00:00:00,FALSO,INSTITUTO TECNOLÓGICO SUPERIOR DE CAJEME, INGENIERÍA EN SISTEMAS,90,POR PROMEDIO,10/02/2012,188350,34,FALSO
24,MÉXICO,ZACATECAS,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-01-28 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DE ZACATECAS,LICENCIATURA EN FÍSICA,93,POR PROMEDIO,,189366,23,FALSO
25,MÉXICO,ZACATECAS,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-01-29 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DE ZACATECAS,LIC. FISICA,86,TESINA,25/11/2022,189112,24,FALSO
26,MÉXICO,MÉXICO,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,,FALSO,UNIVERSITY OF THE PEOPLE,COMPUTER SCIENCE,85,EXPERIENCIA PROFESIONAL,15/03/2022,189355,30,FALSO
27,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-10-02 00:00:00,FALSO,UNIVERSIDAD DE SONORA ,ECONOMÍA ,85,EXAMEN NACIONAL DE CALIDAD (CENEVAL),26/01/2022,189593,27,FALSO
28,MÉXICO,BAJA CALIFORNIA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2022-10-02 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,MATEMÁTICAS APLICADAS,"84,3",NINGUNO,20/09/2021,189086,25,FALSO
29,MÉXICO,MÉXICO,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-02-14 00:00:00,VERDADERO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,ACTUARÍA,"81,7",NINGUNO,,189623,33,VERDADERO
30,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-02-16 00:00:00,FALSO,UNIVERSIDAD DE SONORA,FINANZAS,89,TRABAJO PROFESIONAL,14/04/2016,188384,30,FALSO
31,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2022-02-18 00:00:00,VERDADERO,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INGENIERO INDUSTRIAL Y DE SISTEMAS,94,EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/12/2021,189678,24,VERDADERO
32,MÉXICO,SONORA,MUJER,SOLTERO(A),0,ESPIRITUALISTAS,2022-02-22 00:00:00,FALSO,UNIVERSIDAD KINO ,INGENIERÍA EN DISEÑO GRÁFICO DIGITAL,"99,89",POR PROMEDIO,,189216,24,FALSO
33,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-02-25 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,"84,98",NINGUNO,,189797,25,FALSO
34,MÉXICO,SONORA,HOMBRE,SOLTERO(A),1,CATÓLICA,2022-07-03 00:00:00,FALSO,UNIVERSIDAD LA SALLE NOROESTE,LICENCIATURA EN INGENIERÍA MECATRONICA,90,POR PROMEDIO,03/12/2008,189931,41,FALSO
35,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,PROTESTANTE,2022-09-03 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,INGENIERÍA MECATRÓNICA,"94,51",TESIS PROFESIONAL,14/12/2021,189795,25,VERDADERO
36,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-11-03 00:00:00,FALSO,UNAM,MVZ,"68,9",NINGUNO,,190025,60,FALSO
37,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-11-03 00:00:00,FALSO,UNISON,L.A,89,EXAMEN NACIONAL DE CALIDAD (CENEVAL),01/01/1999,190025,60,FALSO
38,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-11-03 00:00:00,FALSO,UNISON,CP,89,NINGUNO,,190025,60,FALSO
39,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-11-03 00:00:00,FALSO,UNISON,LIC. EN PSICOLOGIA-TRUNCA,61,NINGUNO,,190025,60,FALSO
