,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
47,COLOMBIA,HUILA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-03-15 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DE MANIZALES,INGENIERÍA BIOMÉDICA,"86,4",PRÁCTICAS PROFESIONALES,25/03/2022,191738,23,FALSO
48,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-03-20 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,"84,98",NINGUNO,,189797,25,FALSO
49,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-03-21 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,FÍSICA,"92,28",POR PROMEDIO,07/04/2023,191785,23,VERDADERO
50,CUBA,HABANA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-03-22 00:00:00,VERDADERO,UNIVERSIDAD DE LA HABANA,LICENCIATURA EN METEOROLOGÍA ,94,TESIS PROFESIONAL,07/07/2020,188825,27,VERDADERO
51,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-03-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COPUTACIÓN,"95,79",POR PROMEDIO,31/08/2022,191028,24,FALSO
52,MÉXICO,SONORA,HOMBRE,SOLTERO(A),1,NO DESEO DECLARARLA,2023-03-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA DE MINAS,84,EXPERIENCIA PROFESIONAL,01/08/2023,191822,45,FALSO
53,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-03-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA ,ECONOMÍA ,"96,4",POR PROMEDIO,03/02/2023,191826,23,FALSO
54,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-03-28 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,"89,18",EXAMEN NACIONAL DE CALIDAD (CENEVAL),24/12/2021,191168,26,FALSO
55,MÉXICO,SONORA,HOMBRE,SOLTERO(A),1,CATÓLICA,2023-03-30 00:00:00,FALSO,INSTITUTO TECNOLOGICO HERMOSILLO,INGENIERIA EN SISTEMAS COMPUTACIONALES,"81,15",POR DIPLOMADO,22/01/2016,185164,32,FALSO
56,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-05-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC.EN ECONOMÍA,"80,14",PRÁCTICAS PROFESIONALES,22/06/2018,191920,34,FALSO
57,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-11-04 00:00:00,FALSO,UNIVERSIDA DE SONORA,LICENCIATURA EN FÍSICA,"87,15",TESIS PROFESIONAL,,191933,24,FALSO
58,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,90,NINGUNO,22/07/2022,190391,25,FALSO
59,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-11-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,"89,5",POR PROMEDIO,20/09/2022,191944,25,FALSO
60,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-11-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC. EN CIENCIAS DE LA COMPUTACIÓN,"85,45",EXAMEN NACIONAL DE CALIDAD (CENEVAL),24/02/2021,191723,25,FALSO
61,MÉXICO,BAJA CALIFORNIA SUR,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-11-04 00:00:00,FALSO,UNISON,LICENCIADO EN ECONOMÍA,"92,57",POR PROMEDIO,23/02/2021,188460,28,FALSO
62,MÉXICO,SONORA,HOMBRE,CASADO(A),2,CATÓLICA,2023-04-17 00:00:00,FALSO,UNIVERISAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,80,EXAMEN NACIONAL DE CALIDAD (CENEVAL),13/04/2018,192999,32,FALSO
63,MÉXICO,NUEVO LEÓN,HOMBRE,CASADO(A),0,CATÓLICA,2023-04-20 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA QUÍMICA,"96,46",POR PROMEDIO,07/11/2017,187249,29,FALSO
